Alice;Barbieri;1;alice.barbieri@test.com;3
Marco;Bianchi;2;marco.bianchi@test.com;1
Giulia;Barbieri;3;giulia.barbieri@test.com;3
Sofia;Mancini;4;sofia.mancini@test.com;0
Silvia;Santoro;5;silvia.santoro@test.com;1
Martina;Greco;6;martina.greco@test.com;1
Silvia;Barbieri;7;silvia.barbieri@test.com;1
Simone;Santoro;8;simone.santoro@test.com;0
Lorenzo;Rossi;9;lorenzo.rossi@test.com;0
Lorenzo;Conti;10;lorenzo.conti@test.com;0
Andrea;Lombardi;11;andrea.lombardi@test.com;0
Andrea;Bruno;12;andrea.bruno@test.com;1
Sara;Greco;13;sara.greco@test.com;0
Elena;Rizzo;14;elena.rizzo@test.com;0
Giulia;De Luca;15;giulia.de luca@test.com;0
Gabriele;Fontana;16;gabriele.fontana@test.com;0
Matteo;Santoro;17;matteo.santoro@test.com;0
Alice;Gallo;18;alice.gallo@test.com;1
Francesca;Mancini;19;francesca.mancini@test.com;3
Lorenzo;Esposito;20;lorenzo.esposito@test.com;0
